lottery,game,draw_date,winning,machine
ghana,ASEDA,2025-08-31,57-88-74-46-40,03-02-11-31-26
ghana,National,2025-09-06,89-58-45-31-19,81-54-02-57-35
ghana,ASEDA,2025-09-07,02-17-12-10-18,73-86-65-01-42
ghana,National,2025-09-13,47-57-79-17-34,16-51-81-09-56
ghana,ASEDA,2025-09-14,36-12-64-14-79,25-52-61-80-08
ghana,National,2025-09-20,15-36-41-25-07,22-10-04-66-79
ghana,ASEDA,2025-09-21,73-13-59-83-74,32-07-06-67-86
ghana,National,2025-09-27,38-34-63-43-86,67-49-16-48-47
ghana,ASEDA,2025-09-28,15-34-78-09-89,63-76-71-80-21
ghana,National,2025-10-04,79-69-28-48-33,77-52-67-45-09
ghana,ASEDA,2025-10-05,05-80-04-31-72,17-85-14-25-61
ghana,National,2025-10-11,53-29-67-61-19,25-64-33-56-07
ghana,ASEDA,2025-10-12,28-87-08-41-37,78-29-06-15-61
ghana,National,2025-10-18,34-56-87-90-35,01-73-53-55-54
ghana,ASEDA,2025-10-19,33-80-34-77-57,25-31-78-67-41
ghana,National,2025-10-25,24-16-29-69-14,83-82-48-62-33
ghana,ASEDA,2025-10-26,62-28-02-52-73,61-04-12-85-60
ghana,National,2025-11-01,29-12-04-42-20,54-64-32-52-45
ghana,ASEDA,2025-11-02,71-89-32-62-70,29-69-57-72-76
ghana,National,2025-11-08,17-42-11-75-89,64-35-15-08-71
ghana,ASEDA,2025-11-09,07-44-20-78-41,69-57-22-74-34
ghana,National,2025-11-15,65-33-09-73-32,16-85-40-01-50
ghana,ASEDA,2025-11-16,53-68-13-63-81,88-31-32-49-04
ghana,National,2025-11-22,66-04-61-42-86,17-18-30-38-68
ghana,ASEDA,2025-11-23,43-60-36-44-87,09-51-16-79-69
ghana,National,2025-11-29,67-60-56-55-58,66-11-84-40-30
ghana,ASEDA,2025-11-30,62-10-72-03-41,33-73-86-88-77
ghana,National,2025-12-06,48-43-76-34-30,03-20-10-13-22
ghana,ASEDA,2025-12-07,60-36-11-86-20,49-32-79-56-74
ghana,National,2025-12-13,07-64-65-83-19,44-66-03-89-05
ghana,ASEDA,2025-12-14,81-63-05-55-20,13-31-01-32-46
ghana,National,2025-12-20,57-61-80-72-83,59-14-44-63-28
ghana,ASEDA,2025-12-21,36-34-22-88-38,30-71-19-63-17
ghana,National,2025-12-27,12-03-65-04-29,33-69-85-68-90
ghana,ASEDA,2025-12-28,59-90-35-18-66,02-17-38-43-56
ghana,National,2026-01-03,10-38-37-25-27,89-29-03-63-20
ghana,ASEDA,2026-01-04,48-88-21-50-45,19-73-57-80-75
ghana,National,2026-01-10,74-44-58-16-42,70-57-40-43-19
ghana,ASEDA,2026-01-11,59-66-22-01-82,74-09-75-32-27
ghana,National,2026-01-17,42-81-27-37-23,67-89-68-30-39
ghana,ASEDA,2026-01-18,33-10-39-53-34,35-01-12-86-90
ghana,National,2026-01-24,44-78-52-57-07,71-09-77-03-33
ghana,ASEDA,2026-01-25,76-18-05-70-33,77-40-53-37-22
ghana,National,2026-01-31,06-39-71-48-70,46-25-19-03-84
ghana,ASEDA,2026-02-01,87-56-78-40-01,82-44-25-73-76
ghana,National,2026-02-07,47-55-31-25-48,17-70-46-53-67
ghana,ASEDA,2026-02-08,69-77-21-40-31,39-34-28-48-05
ghana,National,2026-02-14,13-16-15-11-71,32-48-34-53-89
ghana,ASEDA,2026-02-15,70-40-55-10-51,85-87-27-90-34
ghana,National,2026-02-21,05-14-29-56-51,82-53-80-06-70
ghana,ASEDA,2026-02-22,68-67-19-12-80,21-38-34-30-08
ghana,National,2026-02-28,90-73-53-84-77,11-34-86-01-65
ghana,ASEDA,2026-03-01,85-26-27-02-20,08-64-13-10-45
ghana,National,2026-03-07,50-09-33-34-25,57-88-51-47-39
ghana,ASEDA,2026-03-08,88-47-06-27-05,22-32-85-43-45
ghana,National,2026-03-14,01-42-12-20-64,46-44-38-50-47
ghana,ASEDA,2026-03-15,81-17-12-69-01,02-32-25-48-62
ghana,National,2026-03-21,09-75-08-86-24,70-29-22-83-45
ghana,ASEDA,2026-03-22,24-40-87-66-15,45-67-43-60-52
ghana,National,2026-03-28,32-66-17-47-24,77-46-48-82-50
ghana,ASEDA,2026-03-29,10-84-32-62-02,47-78-31-25-76
ghana,National,2026-04-04,82-16-44-50-47,63-02-56-23-59
